"";"id_post_u";"message";"loc";"candidate";"lon";"lat";"nse"
"1";"1455733421128865";"Hoy durante la mañana estuvimos en la emblemática población la victoria.
pasando casa por casa para entregarles un mensaje de esperanza en politica a nuestros vecinos.
Somos la alternativa que ofrece un cambio real en la forma de hacer política y la gente nos cree y no les fallaremos. 

Seguimos este camino, ahora durante la tarde en la población Jose Maria Caro, en los sectores populares la gente cree en nosotros ! 

Vamos avanzando por todo el distrito<U+270A>";"poblacion la victoria, pedro aguirre cerda , Region Metropolitana, Chile";"CARLOS ASTUDILLO";-70,67744;-33,4881249;38,22
"2";"1953026658279175";"#AtriaEnTuCasa En la casa de Zerreitug en El Arrayán";"el arrayan, santiago , Region Metropolitana, Chile";"FERNANDO ATRIA";-70,475204;-33,346737;79,09
"3";"1958037754444732";"Ahora debatimos en la Universidad de los Andes junto a otros candidatos por el #Distrito11.";"universidad de los antes, las condes , Region Metropolitana, Chile";"FERNANDO ATRIA";-70,5064082;-33,4043009;90,4
"4";"1899953606922248";"LO BARNECHEA Aquí estamos, en el gimnasio municipal de Lo Barnechea celebrando junto al alcalde Felipe Guevara con cientos de adultos mayores que ¡pasamos Agosto! Nuestra tercera edad es primera prioridad, queremos que tengan una vida digna, con los cuidados y beneficios que se merecen luego de una vida de esfuerzo.";"gimnasio municipal, lo barnechea , Region Metropolitana, Chile";"GONZALO FUENZALIDA";-70,5079858;-33,3583666;53,31
"5";"1900416410209301";"Con alegría y entusiasmo despedimos agosto y damos la bienvenida al Mes de la Patria, a la primavera y a #TiemposMejores Un saludo pre diechichero desde la Unión Comunal del Adulto Mayor de Las Condes, ayer estuvimos en Lo Barnechea y seguiremos el recorrido con La Reina, Peñalolén y Vitacura.";"cerro la paloma 7106, las condes , Region Metropolitana, Chile";"GONZALO FUENZALIDA";-70,5563728;-33,4092124;75,75
"6";"1903381603246115";"Celebrando en Las Condes pasando agosto en el Estadio Manquehue";"estadio manquehue, las condes , Region Metropolitana, Chile";"GONZALO FUENZALIDA";-70,5749635;-33,3939922;93,19
"7";"1903907599860182";"Gran celebración fiesta diciochera hoy en Lo Barnechea en la J.V  Villa Carolina";"junta de vecinos villa carolina, lo barnechea , Region Metropolitana, Chile";"GONZALO FUENZALIDA";-70,518517;-33,352669;88,33
"8";"1910429985874610";"En Peñalolen en celebraciones del 18 en tu barrio, sector San Luis y Plaza  Valle Oriente Cordillera, Peñalolen Nuevo.";"plaza valle oriente cordillera, penalolen , Region Metropolitana, Chile";"GONZALO FUENZALIDA";-70,5795113;-33,5011911;54,1
"9";"210639816144814";"En pocos minutos +, estaremos trabajando en campaña en el mall plaza egaña contando de nuestro programa político para transformarnos en un chilemejor, un #ChiledelosLibres escucharemos sus propuestas conversamos y nos ponemos de acuerdo para el domingo para ir a votar apareceré en la papeleta con el #B51 para diputado por el distrito 11 Peñalolén la reina las condes Vitacura y lo Barnechea nos vemos en plaza egaña...?";"mall plaza egana, la reina , Region Metropolitana, Chile";"MIGUEL RENDON";-70,5694987;-33,4523407;86,93
"10";"1253403568098181";"[Día 29] 

<ed><U+00A0><U+00BD><ed><U+00B3><U+008D>#LoBarnechea, Santa Blanca/ Contralmirante Fernández Vial. 

Mi candidatura es de emprendimiento, una de mis propuestas es dar  un permiso temporal, que exima a todos los emprendedores del pago de contribuciones y tributos durante 1 año. Conoce más en www.undurragadiputado.cl 

100%CAPACITADO <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>";"calle santa blanca con avenida contralmirante fernandez vial, lo barnechea , Region Metropolitana, Chile";"FRANCISCO UNDURRAGA";-70,5316092;-33,3580688;86,64
"11";"1261678520645473";"[FERIA ARRIETA PEÑALOLÉN/LA REINA] En esta ocasión no sólo agradeceré a los Peñalolinos y Reininos por su cariño, también quiero mostrar mi eterna gratitud hacia mis queridos comerciantes de la feria, que fielmente siguen conmigo. Un abrazo!";"feria arrieta, la reina , Region Metropolitana, Chile";"BARBARA SOTO";-70,5538368;-33,4626875;76,82
"12";"1269729416465596";"[Día 50]

<ed><U+00A0><U+00BD><ed><U+00B3><U+008D>#LasCondes con #Vitacura 

Mañana o tarde seguimos recorriendo el distrito. Hoy estamos justo en el límite de Las Condes Con Vitacura en Tabancura con Kennedy. Queremos representarte en el próximo congreso y necesitamos que nos abras la ventana para contarte nuestras propuestas.

Recuerda el próximo 19 de noviembre Vota Francisco Undurraga #P80";"avenida tabancura con avenida kennedy, vitacura , Region Metropolitana, Chile";"FRANCISCO UNDURRAGA";-70,5349856;-33,3822881;86,68
"13";"1319896991453097";"Difundir:
Para quienes quieran ser voluntari@s en la comuna de Peñalolén, nos reuniremos el Miercoles 27 de Septiembre a las 20:00 hrs.
Av. Grecia #5720. Peñalolén.
Sede Movimiento de Poblad@s en Lucha
MPL";"avenida grecia 5720, penalolen , Region Metropolitana, Chile";"NATALIA GARRIDO";-70,5708896;-33,4700667;45,19
"14";"1353385024714569";"LA PRIMERA PATITA DEL 18<U+0001F1E8><U+0001F1F1> Comenzando a celebrar nuestro mes de la patria en la Unión Comunal de Adulto Mayor de Las Condes, junto a muchos vecinos y amigos de la comuna. La promoción de los valores republicanos, de nuestras tradiciones y el respeto por nuestros símbolos patrios debe primar durante todo el año y no solo durante este mes. #GuilleRamirezDiputado";"cerro la paloma 7106, las condes , Region Metropolitana, Chile";"GUILLERMO RAMIREZ";-70,5563728;-33,4092124;75,75
"15";"1354190327967372";"PARTIENDO EL 18 EN LA REINA<U+0001F1E8><U+0001F1F1> ¡Junto al alcalde José Manuel Palacios y el concejal Manuel José Covarrubias en Casa de Campo de La Reina dando inicio a las fiestas del 18 de Septiembre! Todos a celebrar, pero siempre con respondabilidad<U+0001F4AA><U+0001F3FC>";"casa de campo la reina, la reina , Region Metropolitana, Chile";"GUILLERMO RAMIREZ";-70,5169594;-33,4488635;29,68
