"","candidate","id_post_u","message","loc","lon","lat"
"1","ROSARIO OLIVARES","729711500563531","Hoy estuvimos en la Facultad de Arquitectura de la Universidad de Chile junto a la Coordinadora de Pobladores Newen hablando sobre #NoAlMallVivo y ahora volanteando en Santiago centro junto a nuestro equipo:","avenida portugal 84, santiago, Region Metropolitana, Chile",-70.6381755,-33.4422791
"2","ROSARIO OLIVARES","730476597153688","Último domingo<U+2600><U+FE0F> estuvimos en las ferias Santa Carolina de Macul, Marathon de Ñuñoa y 10 de julio y
Aldunate de Santiago. Este 19 vota Frente Amplio, vota mujer: Beatriz Sánchez presidenta, #RosarioOlivaresDiputada G62","feria Santa Carolina, Macul, Region Metropolitana, Chile",-70.6094628,-33.4850282
"3","ROSARIO OLIVARES","730476597153688","Último domingo<U+2600><U+FE0F> estuvimos en las ferias Santa Carolina de Macul, Marathon de Ñuñoa y 10 de julio y
Aldunate de Santiago. Este 19 vota Frente Amplio, vota mujer: Beatriz Sánchez presidenta, #RosarioOlivaresDiputada G62","feria Marathon, Ñuñoa, Region Metropolitana, Chile",-70.614376,-33.4673157
"4","ROSARIO OLIVARES","730476597153688","Último domingo<U+2600><U+FE0F> estuvimos en las ferias Santa Carolina de Macul, Marathon de Ñuñoa y 10 de julio y
Aldunate de Santiago. Este 19 vota Frente Amplio, vota mujer: Beatriz Sánchez presidenta, #RosarioOlivaresDiputada G62","feria 10 de julio, Santiago, Region Metropolitana, Chile",-70.6315297,-33.4517011
"5","ROSARIO OLIVARES","730590713808943","Terminando el último domingo de campaña tal como el primero: conversando con las y los vecinos. Esta vez recorrimos la Villa Olímpica y plaza Sucre de Ñuñoa y el barrio Huemul de Santiago. Este 19 de noviembre vota Frente Amplio Chile, vota mujer: Beatriz Sánchez presidenta, Rosario Olivares diputada para Santiago, Macul, Providencia, San Joaquín, Ñuñoa y La Granja <ed><U+00A0><U+00BD><ed><U+00B7><U+00B3>","barrio Huemul, Santiago, Region Metropolitana, Chile",-70.6511298,-33.474624
"6","ROSARIO OLIVARES","730590713808943","Terminando el último domingo de campaña tal como el primero: conversando con las y los vecinos. Esta vez recorrimos la Villa Olímpica y plaza Sucre de Ñuñoa y el barrio Huemul de Santiago. Este 19 de noviembre vota Frente Amplio Chile, vota mujer: Beatriz Sánchez presidenta, Rosario Olivares diputada para Santiago, Macul, Providencia, San Joaquín, Ñuñoa y La Granja <ed><U+00A0><U+00BD><ed><U+00B7><U+00B3>","villa olimpica, ñuñoa, Region Metropolitana, Chile",-70.6201286,-33.4625335
"7","ROSARIO OLIVARES","731819917019356","¡Penúltimo día de campaña! Partimos temprano en Salvador y Suárez Mujica, para continuar en la Villa Frei, metro Los Héroes y finalmente el arengazo por Beatriz Sánchez, que mañana cerrará su campaña en Concepción. ¡Este 19 vota G62, Rosario Olivares diputada para Santiago, Macul, Providencia, San Joaquín, Ñuñoa y La Granja!","Villa Frei, ñuñoa, Region Metropolitana, Chile",-70.580221,-33.4547576
"8","ROSARIO OLIVARES","731819917019356","¡Penúltimo día de campaña! Partimos temprano en Salvador y Suárez Mujica, para continuar en la Villa Frei, metro Los Héroes y finalmente el arengazo por Beatriz Sánchez, que mañana cerrará su campaña en Concepción. ¡Este 19 vota G62, Rosario Olivares diputada para Santiago, Macul, Providencia, San Joaquín, Ñuñoa y La Granja!","metro Los Héroes, santiago, Region Metropolitana, Chile",-70.6612239,-33.4466032
"9","ROSARIO OLIVARES","731819917019356","¡Penúltimo día de campaña! Partimos temprano en Salvador y Suárez Mujica, para continuar en la Villa Frei, metro Los Héroes y finalmente el arengazo por Beatriz Sánchez, que mañana cerrará su campaña en Concepción. ¡Este 19 vota G62, Rosario Olivares diputada para Santiago, Macul, Providencia, San Joaquín, Ñuñoa y La Granja!","salvador suarez mujica, ñuñoa, Region Metropolitana, Chile",-70.6209337,-33.4590551
"10","ROSARIO OLIVARES","731819917019356","¡Penúltimo día de campaña! Partimos temprano en Salvador y Suárez Mujica, para continuar en la Villa Frei, metro Los Héroes y finalmente el arengazo por Beatriz Sánchez, que mañana cerrará su campaña en Concepción. ¡Este 19 vota G62, Rosario Olivares diputada para Santiago, Macul, Providencia, San Joaquín, Ñuñoa y La Granja!","suarez mujica, ñuñoa, Region Metropolitana, Chile",-70.6128847,-33.4598881
"11","SERGIO GOMEZ","753113188207488","Estuve de paso con los emprendedores de la #Barbería #SalónBarber en la comuna de #LaGranja en la que conversamos de trabajo y los desafios para los trabajadores independientes de la comuna. Les dejo la dirección para que pasen a verlos Joaquín Edwards Bello 10518 Villa Los Pensamientos

#SergioGómezCeledón Candidato #Diputado #Distrito10 #UPAuniónpatriótica #UPADistrito10 #UniónPatriótica #YoEstoyConArtés #EduardoArtés #Chile #Chilenos
#beard #barbershop","Joaquín Edwards Bello 10518 Villa Los Pensamientos, la granja, Region Metropolitana, Chile",-70.6236858,-33.556658
"12","RODOLFO CHELME","1680742745292254","Este fin de semana estuvimos en la feria de San Eugenio, en Ñuñoa. Conversamos con adultos mayores acerca de los problemas de salud que los aquejan.","feria de san eugenio, Ñuñoa, Region Metropolitana, Chile",-70.6229043,-33.4691839
"13","SERGIO GOMEZ","764120093773464","Hoy estuvimos con la producción del #CarnavalSanAntonioDePadua en la #RadioFranklin hablando del #carnaval del #barrio y de su historia. #SergioGómez #Distrito10 #BarrioMatta #Franklin #Santiago #Chile","barrio matta, santiago, Region Metropolitana, Chile",-70.6342324,-33.4627623
"14","SERGIO GOMEZ","764867493698724","Transmitiendo en vivo desde la Gala del #CarnavalSanAntonioDePadua por facebook San Antonio de Padua,  #VitaminaFmChile y #RadioFranklin 7 y 8 de Octubre #SergioGómez #Distrito10 #Santiago #LaGranja #SanJoaquín #Macul #Ñuñoa #Providencia","barrio matta, santiago, Region Metropolitana, Chile",-70.6342324,-33.4627623
"15","SERGIO GOMEZ","765573243628149","Completamente satisfechos en la jornada de hoy con la compañera Angélica Cornejo lista #M68 propaganda en la Feria de Sebastopol en la comuna de #SanJoaquín, vecinos y trabajadores se alinean con nuestras propuestas populares. Vamos por ese #Distrito10 Vamos por eso 30.000 votos!!!","feria de sebastopol, san joaquin, Region Metropolitana, Chile",-70.6216513,-33.5132982
"16","SERGIO GOMEZ","765604560291684","Todos y todas invitadas a este gran carnaval. Ya se dió inicio a la Noche Latinoamericana en la Plaza Bogotá comuna de #Santiago conmemoración 25 años del #CarnavalSanAntonioDePadua Los saluda #SergioGómez #Diputado por el #Distrito10 #Arte #Cultura #culturadebarrio #barriofranklin #BarrioMattaSur #BarrioMatta","barrio matta, santiago, Region Metropolitana, Chile",-70.6342324,-33.4627623
"17","SERGIO GOMEZ","765806500271490","Ayer desde la #PlazaBogotá transmitiendo #NocheLatinoamericana #CarnavalSanAntonioDePadua por #VitaminaTV Hoy gran desfile de comparsas por Sierra Bella Desde Matta hasta Ñuble. #SergioGómez #Diatrito10 #Santiago transmitiendo la cultura de barrio.","plaza bogotá, santiago, Region Metropolitana, Chile",-70.6338272,-33.4675369
"18","SERGIO GOMEZ","765923676926439","El día de hoy terminamos nuestra campaña en la feria de Benjamín Subercaseaux en la comuna de La Granja junto a mis compañeras de lista Angélica Cornejo y Carla González . En la que particularmente me quedo con una anécdota que me segó por unos minutos al ver la gran maquinaria política, por no decir una empresa de producción propagandística en la que se ostentan muchos “productos” como bolsas, dípticos, flyers en forma de zapatilla y una gran cantidad de personas trabajando bajo una polera azul. Por qué menciono esto? Nuestro llamado en las salidas a terreno y recorridos por las ferias es SACAR A LOS CORRUPTOS DEL PODER, ante esta consigna se acercan dos personas que estaban uniformados con el bando contrario y me piden una de nuestras papeletas, a lo que respondo con una negativa y a la defensiva, pero cuando veo la reacción de estas personas y me argumentan que no es su culpa, que ellos solo son trabajadores y les pagan por eso, pero que se identificaban con las ideas de Unión Patriótica relacionado al trabajo. Aquí entendí la importancia de nuestro trabajo que va más allá de lo evidente. Es por esto que sigo luchando por los trabajadores y la dignidad nacional.

Sergio Gómez C.
Candidato a Diputado por el #Distrito10
#LaGranja #SanJoaquín #Macul #Ñuñoa #Santiago #Providencia","feria benjamin subercaseaux, la granja, Region Metropolitana, Chile",-70.6295256,-33.5534019
"19","RODOLFO CHELME","1687657681267427","Estuvimos en Feria Quilín. Conversando cara a cara con vecinos y vecinas.","Feria Quilín, quilín, Region Metropolitana, Chile",-70.5906488,-33.4860082
"20","SERGIO GOMEZ","778627372322736","Estimados y estimadas
Este Sábado 11 de Noviembre, convocamos a una actividad masiva de propaganda en sector Macul/Ñuñoa Feria Libre Santa Julia. Nos reuniremos en Rodrigo de Araya con Santa Julia a las 10:30 hrs. Para generar los cambios verdaderos que Chile necesita, como salud/educación gratuita y de calidad, viviendas dignas y un país sustentable con nuestros recursos naturales, necesitamos contar con tu participación.
Saludos y te espero!!

Sergio Gómez C.
Vicepresidente Metropolitano UPA
Candidato Diputado Distrito 10.","feria libre santa julia, ñuñoa, Region Metropolitana, Chile",-70.592227,-33.4751382
"21","SERGIO GOMEZ","779697765549030","Nos tomamos la choca y nos vamos a #Macul a la Feria en #SantaJulia con #RodrigoDeAraya. Estaremos repartiendo el diario #RemimolinoPopular #Distrito10","feria libre santa julia, ñuñoa, Region Metropolitana, Chile",-70.592227,-33.4751382
"22","SERGIO GOMEZ","781628175355989","Este es el registro de un día cualquiera de campaña en el Persa Bio Bio, repartiendo el diario Remolino Popular en la que nos convertimos en uno más del entorno del lugar, junto a la gente, junto a los trabajadores.","Persa Bio Bio, santiago, Region Metropolitana, Chile",-70.6435003,-33.4738346
