mensaje_id,codif_macro_1,codif_macro_2,codif_micro_1,codif_micro_2,hoja_1,hoja_2
FB_9133,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Carolina-7,Saúl-7
TW_22908,D. Otros,B. Campaña,7a. Personal (trivial),3. Movilización de recursos,Marcelo-7,Extra-5
TW_1317,C. Politics,C. Politics,5a. Ataque (personal),4. Endorsements | 5a. Ataque (personal),Gonzalo-2,Matías-2
TW_20986,C. Politics,C. Politics,5b. Ataque (global),5a. Ataque (personal),Andrea-4,Matías-4
FB_2371,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura,Extra-2,Gabriel-3
FB_4702,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura,Gonzalo-8,Extra-6
TW_7605,D. Otros,D. Otros,10. Aparición en medios,10. Aparición en medios,Benjamín-6,Saúl-4
FB_397,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos,César-8,Marcelo-4
FB_5915,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura,Matías-6,Marcelo-4
FB_4235,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Saúl-2,Extra-4
TW_7676,C. Politics,C. Politics,6e. Referencia positiva (comp. lista),4. Endorsements,Saúl-7,Marcelo-8
TW_20805,D. Otros,D. Otros,9. Utilidad pública,7a. Personal (trivial),Gabriel-7,Alondra-2
FB_783,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Benjamín-3,Carolina-8
TW_13286,A. Programático,A. Programático,1a. Programática - Postura | 6f. Referencia positiva (otros),1a. Programática - Postura,Matías-3,Benjamín-4
TW_15197,C. Politics,C. Politics,6b. Referencia positiva (partido) | 8. Interacción con usuarios,6b. Referencia positiva (partido),Alondra-4,Gonzalo-8
FB_4648,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Andrea-2,Carolina-2
TW_18876,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial),Andrea-4,Gabriel-3
FB_6739,B. Campaña,D. Otros,N/A (imposible de determinar),N/A (imposible de determinar),Matías-7,Benjamín-4
TW_20645,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial) | 1a. Programática - Postura,Marcelo-2,Gonzalo-2
TW_24951,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios,Gonzalo-3,Carolina-7
TW_3409,C. Politics,C. Politics,5a. Ataque (personal),5a. Ataque (personal),Alondra-2,Benjamín-8
TW_27124,D. Otros,B. Campaña,9. Utilidad pública,3. Movilización de recursos,Marcelo-4,Extra-2
TW_2719,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos | 6a. Referencia positiva (cand. presidencial),Gonzalo-7,Benjamín-3
TW_18701,D. Otros,C. Politics,8. Interacción con usuarios,6a. Referencia positiva (cand. presidencial),Marcelo-4,Andrea-4
TW_25919,B. Campaña,B. Campaña,2. Eventos de campaña,3. Movilización de recursos,Carolina-2,Marcelo-5
TW_9590,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios,Benjamín-3,Gonzalo-3
TW_20573,D. Otros,D. Otros,7a. Personal (trivial),7a. Personal (trivial),Extra-6,César-2
TW_3924,A. Programático,C. Politics,1a. Programática - Postura,5b. Ataque (global),Carolina-7,Alondra-2
TW_17065,C. Politics,D. Otros,6f. Referencia positiva (otros),7a. Personal (trivial),Saúl-7,César-6
TW_10110,C. Politics,C. Politics,5a. Ataque (personal),5a. Ataque (personal),Gabriel-6,César-4
TW_14007,C. Politics,C. Politics,5a. Ataque (personal),5a. Ataque (personal),Alondra-2,Extra-5
TW_3663,B. Campaña,A. Programático,2. Eventos de campaña,1a. Programática - Postura,Gabriel-5,Marcelo-2
TW_20972,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Carolina-4,Benjamín-3
TW_27013,C. Politics,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios | 5c. Ataque (otros),Marcelo-5,Saúl-2
TW_5581,A. Programático,A. Programático,1b. Programática - Propuesta,1a. Programática - Postura,Saúl-2,César-3
TW_24878,D. Otros,D. Otros,9. Utilidad pública,N/A (imposible de determinar),Andrea-2,Matías-2
FB_7840,B. Campaña,B. Campaña,4. Endorsements,2. Eventos de campaña,Matías-4,César-7
FB_4887,C. Politics,C. Politics,5a. Ataque (personal) | 1a. Programática - Postura,5a. Ataque (personal),Saúl-3,Benjamín-7
TW_14364,C. Politics,D. Otros,6d. Referencia positiva (gobierno) | 5b. Ataque (global),9. Utilidad pública,Benjamín-3,Carolina-7
TW_7303,B. Campaña,B. Campaña,2. Eventos de campaña,3. Movilización de recursos,Matías-8,Extra-5
TW_5222,D. Otros,D. Otros,7a. Personal (trivial),7a. Personal (trivial),Extra-3,César-4
TW_22252,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial),Benjamín-6,Marcelo-2
TW_929,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial),Extra-1,Carolina-4
FB_9033,D. Otros,D. Otros,7b. Personal (aptitudes),7b. Personal (aptitudes),Carolina-5,Alondra-5
FB_9545,A. Programático,A. Programático,1a. Programática - Postura | 5c. Ataque (otros),1a. Programática - Postura,Alondra-3,Gabriel-4
FB_1798,B. Campaña,B. Campaña,3. Movilización de recursos | 1a. Programática - Postura,3. Movilización de recursos,Matías-4,Saúl-4
TW_2866,A. Programático,D. Otros,1a. Programática - Postura,8. Interacción con usuarios | 1b. Programática - Propuesta,Benjamín-3,Saúl-8
FB_8696,D. Otros,D. Otros,N/A (imposible de determinar),N/A (imposible de determinar),Benjamín-3,Gabriel-2
TW_9224,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios,Gabriel-4,Marcelo-7
TW_925,D. Otros,D. Otros,10. Aparición en medios,10. Aparición en medios,Gonzalo-5,Extra-6
FB_4208,B. Campaña,C. Politics,3. Movilización de recursos,4. Endorsements,Benjamín-3,Alondra-3
TW_4049,D. Otros,B. Campaña,10. Aparición en medios | 8. Interacción con usuarios,10. Aparición en medios,Saúl-5,Andrea-3
TW_16239,A. Programático,A. Programático,1a. Programática - Postura,1b. Programática - Propuesta,Gonzalo-5,Matías-3
TW_3953,D. Otros,C. Politics,7a. Personal (trivial),6f. Referencia positiva (otros),César-3,Carolina-3
TW_21309,D. Otros,D. Otros,7a. Personal (trivial),7a. Personal (trivial),Saúl-4,Marcelo-7
FB_4756,NA,B. Campaña,N/A (imposible de determinar),2. Eventos de campaña,Saúl-7,Carolina-6
TW_26647,A. Programático,A. Programático,1b. Programática - Propuesta,1a. Programática - Postura,Saúl-5,Gonzalo-7
TW_13508,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial),Gabriel-6,Benjamín-7
TW_24386,B. Campaña,C. Politics,2. Eventos de campaña | 6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial),Alondra-5,Andrea-3
FB_9209,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Gonzalo-6,Extra-3
FB_3274,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Benjamín-6,Gonzalo-8
TW_19371,B. Campaña,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial),Matías-5,Carolina-8
