mensaje_id,codif_macro_1,codif_macro_2,codif_micro_1,codif_micro_2
FB_9133,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_22908,D. Otros,B. Campaña,7a. Personal (trivial),3. Movilización de recursos
TW_1317,C. Politics,C. Politics,5a. Ataque (personal),4. Endorsements | 5a. Ataque (personal)
TW_20986,C. Politics,C. Politics,5b. Ataque (global),5a. Ataque (personal)
FB_2371,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
FB_4702,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_7605,D. Otros,D. Otros,10. Aparición en medios,10. Aparición en medios
FB_397,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos
FB_5915,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
FB_4235,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_7676,C. Politics,C. Politics,6e. Referencia positiva (comp. lista),4. Endorsements
TW_20805,D. Otros,D. Otros,9. Utilidad pública,7a. Personal (trivial)
FB_783,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_13286,A. Programático,A. Programático,1a. Programática - Postura | 6f. Referencia positiva (otros),1a. Programática - Postura
TW_15197,C. Politics,C. Politics,6b. Referencia positiva (partido) | 8. Interacción con usuarios,6b. Referencia positiva (partido)
FB_4648,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_18876,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
FB_6739,B. Campaña,D. Otros,N/A (imposible de determinar),N/A (imposible de determinar)
TW_20645,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial) | 1a. Programática - Postura
TW_24951,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_3409,C. Politics,C. Politics,5a. Ataque (personal),5a. Ataque (personal)
TW_27124,D. Otros,B. Campaña,9. Utilidad pública,3. Movilización de recursos
TW_2719,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos | 6a. Referencia positiva (cand. presidencial)
TW_18701,D. Otros,C. Politics,8. Interacción con usuarios,6a. Referencia positiva (cand. presidencial)
TW_25919,B. Campaña,B. Campaña,2. Eventos de campaña,3. Movilización de recursos
TW_9590,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_20573,D. Otros,D. Otros,7a. Personal (trivial),7a. Personal (trivial)
TW_3924,A. Programático,C. Politics,1a. Programática - Postura,5b. Ataque (global)
TW_17065,C. Politics,D. Otros,6f. Referencia positiva (otros),7a. Personal (trivial)
TW_10110,C. Politics,C. Politics,5a. Ataque (personal),5a. Ataque (personal)
TW_14007,C. Politics,C. Politics,5a. Ataque (personal),5a. Ataque (personal)
TW_3663,B. Campaña,A. Programático,2. Eventos de campaña,1a. Programática - Postura
TW_20972,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_27013,C. Politics,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios | 5c. Ataque (otros)
TW_5581,A. Programático,A. Programático,1b. Programática - Propuesta,1a. Programática - Postura
TW_24878,D. Otros,D. Otros,9. Utilidad pública,N/A (imposible de determinar)
FB_7840,B. Campaña,B. Campaña,4. Endorsements,2. Eventos de campaña
FB_4887,C. Politics,C. Politics,5a. Ataque (personal) | 1a. Programática - Postura,5a. Ataque (personal)
TW_14364,C. Politics,D. Otros,6d. Referencia positiva (gobierno) | 5b. Ataque (global),9. Utilidad pública
TW_7303,B. Campaña,B. Campaña,2. Eventos de campaña,3. Movilización de recursos
TW_5222,D. Otros,D. Otros,7a. Personal (trivial),7a. Personal (trivial)
TW_22252,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_929,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
FB_9033,D. Otros,D. Otros,7b. Personal (aptitudes),7b. Personal (aptitudes)
FB_9545,A. Programático,A. Programático,1a. Programática - Postura | 5c. Ataque (otros),1a. Programática - Postura
FB_1798,B. Campaña,B. Campaña,3. Movilización de recursos | 1a. Programática - Postura,3. Movilización de recursos
TW_2866,A. Programático,D. Otros,1a. Programática - Postura,8. Interacción con usuarios | 1b. Programática - Propuesta
FB_8696,D. Otros,D. Otros,N/A (imposible de determinar),N/A (imposible de determinar)
TW_9224,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_925,D. Otros,D. Otros,10. Aparición en medios,10. Aparición en medios
FB_4208,B. Campaña,C. Politics,3. Movilización de recursos,4. Endorsements
TW_4049,D. Otros,B. Campaña,10. Aparición en medios | 8. Interacción con usuarios,10. Aparición en medios
TW_16239,A. Programático,A. Programático,1a. Programática - Postura,1b. Programática - Propuesta
TW_3953,D. Otros,C. Politics,7a. Personal (trivial),6f. Referencia positiva (otros)
TW_21309,D. Otros,D. Otros,7a. Personal (trivial),7a. Personal (trivial)
FB_4756,NA,B. Campaña,N/A (imposible de determinar),2. Eventos de campaña
TW_26647,A. Programático,A. Programático,1b. Programática - Propuesta,1a. Programática - Postura
